TIPO_VENTA,DOCUMENTO,CORRELATIVO,CODIGO,RAZON_SOCIAL,TIPO_CLIENTE,SKU,ARTICULO,G_PROVEEDOR,ACCTCODEN2,N1,N11,N2,N21,N3,N31,N4,N41,COMERCIAL,ALM,CANT,U#M#,T/C,COSTO,C_TOTAL,P_UNIT,P_TRAS_DESC,V_TOTAL,UTILIDAD
Venta Stock,01 - FACTURA,F001-0023995,C000088,MEGAPINTURAS CIA. LTDA,Nacional,A000477,CULMINAL 35000 P1R - 25 KG,ASHLAND,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,24,KG,1,"7,554","181,296","9,3","9,3","223,2","41,904"
Venta Stock,01 - FACTURA,F001-0023993,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A000954,DCC GREEN 4407 - 25 KG,DCL,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"10,49","262,25","12,3","12,3","307,5","45,25"
Venta Stock,01 - FACTURA,F001-0023990,C000013,APRODIN,Nacional,A001077,BYKANOL A - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,120,KG,1,"5,763","691,56","13,1","13,1",1572,"880,44"
Venta Stock,01 - FACTURA,F001-0025995,C000109,PINTURAS UNIDAS S.A.,Nacional,A001088,CLAYTONE AF - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,5000,KG,1,"4,499",22495,"5,89","5,89",29450,6955
Venta Stock,01 - FACTURA,F001-0025986,C000340,POLIACRILART CIA. LTDA.,Nacional,A001400,BYK 037 - 185 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,185,KG,1,"2,443","451,955","3,29","3,29","608,65","156,695"
Venta Stock,01 - FACTURA,F001-0025961,C000105,PINTURAS AMERICA PINTAMER S.A.,Nacional,A000750,DIOXIDO DE TITANIO KRONOS 2360 - 25 KG,KRONOS,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,1000,KG,1,"4,247",4247,"3,3","3,3",3300,-947
Venta Stock,01 - FACTURA,F001-0025953,C000107,PINTURAS ECUATORIANAS S.A. PINTUCO,Nacional,A001400,BYK 037 - 185 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,20,KG,1,"2,633","52,66","3,5","3,5",70,"17,34"
Venta Stock,01 - FACTURA,F001-0025953,C000107,PINTURAS ECUATORIANAS S.A. PINTUCO,Nacional,A000151,BYK 331 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"33,69","842,25","41,5","41,5","1037,5","195,25"
Venta Stock,01 - FACTURA,F001-0025953,C000107,PINTURAS ECUATORIANAS S.A. PINTUCO,Nacional,A001225,CLAYTONE APA - 12.5 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,40,75,KG,1,"5,175","388,125","6,85","6,85","513,75","125,625"
Venta Stock,01 - FACTURA,F001-0025952,C000060,INDUALCA S.A.,Nacional,A001088,CLAYTONE AF - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,300,KG,1,"4,829","1448,7","5,9","5,9",1770,"321,3"
